Games to Play				Time to Beat	Status

!!!!!!!!!!PC!!!!!!!!!!!!

!!! RPG Turn Based | Puzzle
1. BG3						70 hours		Owned
2. XCOM 2					33 hours		On hold
3. Diablo IV				26 hours		Playing
4. Tactical Breach Wizards	12 hours		Owned
X. DragonAge Veilguard		XX hours		Not owned
Y. CyberPunk 2077			25 hours		Not owned
5. Marvel's Midnight Suns	40 hours		Owned
6. FrostPunk 2				11 hours		Not owned
y. Portal					03 hours		Owned
z. Portal 2					09 hours		Owned

!!! Action/Adventure
1. Sunset Overdrive			10 hours		Owned
2. Halo MCC					60 hours		Owned
3. Tomb Raider				12 hours		Owned

!!! Online MP
1. Battlefield 4			XX hours		Owned
2. Halo MCC					XX hours		Owned

!!!!!!!!!PS5!!!!!!!!!!!

!!! Action/Adventure
1. College Football 25		XX hours		Owned
2. Jedi Fallen Survivor		20 hours		Owned
3. COD Black Ops 6			Infinite		Not Owned

!!! RPG Turn Based
1. Persona 3 Reload			64 hours		Owned

!!!!!!!!Switch!!!!!!!!!

!!! Action/Adventure
1. Zelda Wisdom				21 hours		Not Ownes

